model,cv_roc_auc_mean,cv_roc_auc_std,cv_pr_auc_mean,cv_pr_auc_std,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,cv_f1_mean,cv_f1_std,test_roc_auc,test_pr_auc,test_precision,test_recall,test_f1,test_tn,test_fp,test_fn,test_tp
random_forest,0.8123905501131634,0.000714898171748449,0.4277812330457166,0.0051838645759112265,0.33052571048662616,0.0025762457549638627,0.7392264944580171,0.0050846107445185265,0.4567858065135101,0.0018911817242268996,0.8167780169859532,0.44039068187536534,0.3295127145183515,0.7495369710785013,0.45777681096367195,28171,10705,1758,5261
xgboost,0.8108396285635621,0.000968420867346452,0.4277222288331147,0.005333863216898407,0.32145804572978964,0.0026904305181744996,0.7595269780020448,0.003970108291724151,0.451722662801399,0.0029750402466313802,0.8153750939950872,0.4377686388899022,0.32166172106824925,0.7721897706225959,0.4541455444300138,27446,11430,1599,5420
logistic_regression,0.8066621011358392,0.0009830957886529923,0.40413050288080293,0.005318289218407983,0.3201632801757763,0.0007941963453648497,0.7540423113708956,0.007008008735038553,0.449471162516956,0.0015353365642061167,0.8105806702314228,0.41213331622632726,0.31816012409020406,0.7597948425701667,0.4485093141583617,27447,11429,1686,5333
decision_tree,0.7921427583774717,0.0006119884733733713,0.3945724990552764,0.004531729849025734,0.30114423196420936,0.004637125222010884,0.7645125363736228,0.013049074126294158,0.4320015071183862,0.003198147025229504,0.7988069834291152,0.4095953699657705,0.3057436244640036,0.7720473001852116,0.4380228751566099,26571,12305,1600,5419
